SWG,Frequency,Tension,Inharmonicity
29.0,329.63,133.8945314215369,1.8953698746964355e-07
30.0,329.63,111.62096097712246,1.3172245260731544e-07
31.0,329.63,97.89684181440246,1.0132244408198769e-07
32.0,329.63,84.45507952953841,7.540842057106695e-08
33.0,329.63,72.57584195918399,5.568682533501741e-08
34.0,329.63,61.596546629008,4.011261941036608e-08
35.0,329.63,51.036849368315124,2.7538228998779057e-08
26.0,246.94,131.85192550952294,1.0398075509062817e-06
27.0,246.94,109.78074817176731,7.208292255227761e-07
28.0,246.94,89.25442698233803,4.7647437199141517e-07
29.0,246.94,75.14364652821398,3.3772603935010045e-07
30.0,246.94,62.64338018703663,2.3470934515974035e-07
31.0,246.94,54.94119587580614,1.8054116082520467e-07
32.0,246.94,47.39747453688045,1.343663184326593e-07
33.0,246.94,40.73066582158583,9.922543992838544e-08
34.0,246.94,34.568918372601445,7.147457740189423e-08
35.0,246.94,28.642655739034158,4.906892915538868e-08
23.0,196.0,147.99362273529937,5.239360137618159e-06
24.0,196.0,124.28163188914026,3.694929386586544e-06
25.0,196.0,102.63860859328756,2.520076709605569e-06
26.0,196.0,83.06455284774133,1.6505310995611114e-06
27.0,196.0,69.16007273264842,1.1442031298589067e-06
28.0,196.0,56.228826680531284,7.563281959534089e-07
29.0,196.0,47.33926618131956,5.360870197500437e-07
30.0,196.0,39.46430318707359,3.7256420498786197e-07
31.0,196.0,34.612053261326075,2.8658072393602227e-07
32.0,196.0,29.859632411919755,2.1328541720373053e-07
33.0,196.0,25.65965214832189,1.5750479435034807e-07
34.0,196.0,21.77785220772388,1.1345466065041784e-07
35.0,196.0,18.04440384272453,7.788921471337689e-08
