SWG,Frequency,Tension,Inharmonicity
24.0,196.0,138.14381390754437,1.7412255801017492e-06
25.0,196.0,114.08676109023116,1.1875794017913871e-06
26.0,196.0,92.32944528075863,7.778083613024846e-07
27.0,196.0,76.87408084513612,5.392026612945251e-07
28.0,196.0,62.50050350259055,3.5641763724283234e-07
29.0,196.0,52.619415101543666,2.526295726619088e-07
30.0,196.0,43.86609085024718,1.7556988404437058e-07
31.0,196.0,38.472628432781676,1.35050398823039e-07
32.0,196.0,33.19012987324927,1.0051018177667971e-07
33.0,196.0,28.52169027255779,7.42237126119617e-08
34.0,196.0,24.206920338585387,5.346520505193525e-08
35.0,196.0,20.05704888672073,3.67050838820659e-08
22.0,146.83,125.4193317579788,8.120237940553782e-06
23.0,146.83,92.31769470930764,4.39956453287212e-06
24.0,146.83,77.52627132614666,3.102684269396911e-06
25.0,146.83,64.02545973518616,2.1161439222496463e-06
26.0,146.83,51.81525993642623,1.3859742211446185e-06
27.0,146.83,43.1417135590078,9.608034905607766e-07
28.0,146.83,35.07526580817814,6.350994432004207e-07
29.0,146.83,29.53000164680286,4.501598242295321e-07
30.0,146.83,24.61763842389426,3.1284741255206943e-07
31.0,146.83,21.59082876129401,2.406458719607925e-07
32.0,146.83,18.626291986014472,1.7909877012862692e-07
33.0,146.83,16.00636493379654,1.322589951406029e-07
34.0,146.83,13.584917203716344,9.526947718343659e-08
35.0,146.83,11.256010457582853,6.540467109443975e-08
